freq;indic_de;geo\TIME_PERIOD,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
A;JAN;AD,83137 ,84484 ,84082 ,78115 b,78115 ,76246 ,: ,: ,71732 ,: ,74794 e,76177 
A;JAN;AL,2958266 ,2936355 ,2918674 ,2907361 ,2903008 ,2897770 ,2892394 ,2885796 ,2875592 ,2876591 ,2870324 ,2862427 
A;JAN;AM,3230086 ,3237976 ,3249482 ,3262650 ,3274285 ,3026878 ,: ,3010598 ,2998577 ,2986151 ,2972732 ,2965269 
A;JAN;AT,8307989 ,8335003 ,8351643 ,8375164 ,8408121 ,8451860 ,8507786 ,8584926 ,8700471 ,8772865 ,8822267 ,8858775 
A;JAN;AZ,8629900 ,8896900 ,8997586 ,9111078 ,9235085 ,9356483 ,9477119 ,9593038 ,9705643 ,9809981 ,9898085 ,9981457 
A;JAN;BA,3843846 ,3843998 ,3844046 ,3843183 ,3839265 ,3835645 ,3830911 ,3825334 ,3515982 ,3509728 ,3502550 ,: 
A;JAN;BE,10666866 ,10753080 ,10839905 ,11000638 b,11075889 b,11137974 ,11180840 ,11237274 ,11311117 ,11351727 ,11398589 ,11455519 
A;JAN;BG,7518002 ,7467119 ,7421766 ,7369431 ,7327224 ,7284552 ,7245677 ,7202198 ,7153784 ,7101859 ,7050034 ,7000039 
A;JAN;BY,9689770 ,9671912 ,9480178 ,9481193 ,9465150 ,9463840 ,9468154 ,9480868 e,9498364 ,9504704 ,9491823 ,9475174 
A;JAN;CH,7593494 ,7701856 ,7785806 ,7870134 b,7954662 ,8039060 ,8139631 ,8237666 ,8327126 ,8419550 ,8484130 ,8544527 
A;JAN;CY,776333 ,796930 ,819140 ,839751 ,862011 ,865878 ,858000 ,847008 ,848319 ,854802 ,864236 ,875899 
A;JAN;CZ,10343422 ,10425783 ,10462088 ,10486731 ,10505445 ,10516125 ,10512419 ,10538275 ,10553843 ,10578820 ,10610055 ,10649800 
A;JAN;DE,82217837 ,82002356 ,81802257 ,80222065 b,80327900 ,80523746 ,80767463 ,81197537 ,82175684 ,82521653 ,82792351 ,83019213 
A;JAN;DK,5475791 ,5511451 ,5534738 ,5560628 ,5580516 ,5602628 ,5627235 ,5659715 ,5707251 ,5748769 ,5781190 ,5806081 
A;JAN;EA18,329884170 b,331286399 ,332124448 ,331520001 b,332285283 b,333073061 ,334820880 b,335640859 b,336899429 ,337693238 b,338336820 p,339108003 ep
